date,relative_daily_return,relative_cumulative_return,absolute_daily_return,portfolio_value_BoP,portfolio_value_EoP
2019-04-29,,,0.0,0.0,994.8
2019-04-30,0.017792521109770854,0.01779252110977092,17.700000000000045,994.8,1012.5
2019-05-02,-0.005422222222222231,0.012273823884197954,-5.490000000000009,1012.5,1007.01
2019-05-03,0.0048460293343660895,0.017179332529151825,4.8799999999999955,1007.01,1011.89
2019-05-06,-0.02532884009131427,-0.008584640128668886,-25.629999999999995,1011.89,986.26
2019-05-07,-0.041459655668890545,-0.04968837957378347,-40.889999999999986,986.26,945.37
2019-05-08,0.007097750087267458,-0.04294330518697198,6.710000000000036,945.37,952.08
2019-05-09,-0.030774724813040992,-0.07239646160032143,-29.300000000000068,952.08,922.78
2019-05-10,0.005299204577472406,-0.06748090068355417,4.889999999999986,922.78,927.67
2019-05-13,-0.021052745049424875,-0.0871129875351826,-19.529999999999973,927.67,908.14
2019-05-14,-0.001343405201841156,-0.08833936469642112,-1.2200000000000273,908.14,906.92
2019-05-15,0.002690424734265486,-0.0858866103739443,2.4400000000000546,906.92,909.36
2019-05-16,-0.0053774082871469895,-0.09080217129071144,-4.889999999999986,909.36,904.47
2019-05-17,0.01012747797052414,-0.08159429030960985,9.159999999999968,904.47,913.63
2019-05-20,-0.02805293171196217,-0.10735826296743056,-25.629999999999995,913.63,888.0
2019-05-21,0.010990990990990981,-0.09754724567752315,9.759999999999991,888.0,897.76
2019-05-22,-0.015638923543040417,-0.11166063530357861,-14.039999999999964,897.76,883.72
2019-05-23,-0.018637124881184117,-0.1282167269802975,-16.470000000000027,883.72,867.25
2019-05-24,0.011253963678293446,-0.1184057096903901,9.759999999999991,867.25,877.01
2019-05-27,0.0041732705442354915,-0.11472657820667487,3.659999999999968,877.01,880.67
2019-05-28,-0.009004507931461217,-0.12269802975472466,-7.92999999999995,880.67,872.74
2019-05-29,-0.01538831725370679,-0.13619823080016102,-13.430000000000064,872.74,859.31
2019-05-30,0.002129615621836172,-0.1343586650583033,1.830000000000041,859.31,861.14
2019-05-31,-0.00637526999094225,-0.13987736228387637,-5.490000000000009,861.14,855.65
2019-06-03,-0.004990358207210871,-0.14416968234821081,-4.269999999999982,855.65,851.38
2019-06-04,0.027238131034320816,-0.12085846401286693,23.190000000000055,851.38,874.57
2019-06-05,-0.006277370593548839,-0.1263771612384399,-5.490000000000009,874.57,869.08
2019-06-06,-0.0007249044967091585,-0.127010454362686,-0.6299999999999955,869.08,868.45
2019-06-07,0.0021647763256376247,-0.1251206272617612,1.8799999999999955,868.45,870.33
2019-06-11,0.030172463318511356,-0.0987233614796944,26.25999999999999,870.33,896.59
2019-06-12,-0.009770352111890597,-0.10752915158825893,-8.759999999999991,896.59,887.83
2019-06-13,-0.0014079271932689816,-0.10878568556493762,-1.25,887.83,886.58
2019-06-14,-0.016219630490198284,-0.1232408524326497,-14.379999999999995,886.58,872.2
2019-06-17,-0.0171978903921119,-0.1383192601527945,-15.0,872.2,857.2
2019-06-18,0.017498833411105925,-0.1232408524326497,15.0,857.2,872.2
2019-06-19,0.0035886264618206778,-0.12009449135504613,3.1299999999999955,872.2,875.33
2019-06-20,0.007140164280899775,-0.11381182147165259,6.25,875.33,881.58
2019-06-21,-0.007089543773679076,-0.12009449135504624,-6.25,881.58,875.33
2019-06-24,-0.00571213142471982,-0.1251206272617612,-5.0,875.33,870.33
2019-06-25,-0.002160100191881235,-0.1270104543626861,-1.8799999999999955,870.33,868.45
2019-06-26,0.0007254303644423921,-0.12637716123844,0.6299999999999955,868.45,869.08
2019-06-27,0.002151700648962126,-0.12449738640932861,1.8700000000000045,869.08,870.95
2019-06-28,0.018669269188816798,-0.10815239244069164,16.25999999999999,870.95,887.21
2019-07-01,0.012680199727234814,-0.09684358665058312,11.25,887.21,898.46
2019-07-02,-0.0062551476971707196,-0.10249296340973069,-5.6200000000000045,898.46,892.84
2019-07-03,-0.012611442139689072,-0.1138118214716527,-11.259999999999991,892.84,881.58
2019-07-04,0.010639987295537551,-0.10438279051065547,9.379999999999995,881.58,890.96
2019-07-05,-0.011223848433150758,-0.11443506232408529,-10.0,890.96,880.96
2019-07-08,-0.01206638212858699,-0.1251206272617612,-10.629999999999995,880.96,870.33
2019-07-09,-0.030172463318511356,-0.1515178930438279,-26.25999999999999,870.33,844.07
2019-07-10,-0.008150982738398468,-0.15843385605146754,-6.8799999999999955,844.07,837.19
2019-07-11,-0.20537751287043568,-0.3312726176115802,-171.94000000000005,837.19,665.25
2019-07-12,0.011273957158962795,-0.32373341375150777,7.5,665.25,672.75
2019-07-15,-0.0018580453363062058,-0.32498994772818646,-1.25,672.75,671.5
2019-07-16,0.007446016381236039,-0.3199638118214716,5.0,671.5,676.5
2019-07-17,-0.009238728750923873,-0.32624648170486525,-6.25,676.5,670.25
2019-07-18,-0.011189854531891086,-0.3337856855649377,-7.5,670.25,662.75
2019-07-19,0.013202565069784986,-0.3249899477281867,8.75,662.75,671.5
2019-07-22,0.02327624720774385,-0.3092782468837958,15.629999999999995,671.5,687.13
2019-07-23,0.01910846564696636,-0.2960796139927624,13.129999999999995,687.13,700.26
2019-07-24,0.013395024705109525,-0.28665058303176516,9.379999999999995,700.26,709.64
2019-07-25,-0.020263795727411077,-0.30110574989947725,-14.379999999999995,709.64,695.26
2019-07-26,-0.049463510053792806,-0.3356755126658624,-34.389999999999986,695.26,660.87
2019-07-29,-0.00756578449619441,-0.34070164857257723,-5.0,660.87,655.87
2019-07-30,-0.03526613505725219,-0.36395255327704046,-23.129999999999995,655.87,632.74
2019-07-31,0.025681954673325538,-0.347617611580217,16.25,632.74,648.99
2019-08-01,0.011571826992711738,-0.34006835544833125,7.509999999999991,648.99,656.5
2019-08-02,-0.031439451637471416,-0.3608162444712504,-20.639999999999986,656.5,635.86
2019-08-05,-0.0088384235523543,-0.36646562123039794,-5.6200000000000045,635.86,630.24
2019-08-06,-0.011916095455699402,-0.3740148773622838,-7.509999999999991,630.24,622.73
2019-08-07,0.009040836317505171,-0.36835544833132283,5.6299999999999955,622.73,628.36
2019-08-08,0.010949137437137938,-0.3614394853236831,6.8799999999999955,628.36,635.24
2019-08-09,-0.014766072665449272,-0.3708685162846803,-9.379999999999995,635.24,625.86
2019-08-12,-0.014587927012430887,-0.38004624045034174,-9.129999999999995,625.86,616.73
2019-08-13,0.00283754641415206,-0.37828709288299145,1.75,616.73,618.48
2019-08-14,-0.01778553874013711,-0.38934459187776427,-11.0,618.48,607.48
2019-08-15,-0.011934549285573188,-0.3966324889425009,-7.25,607.48,600.23
2019-08-16,0.039151658530896485,-0.3730096501809409,23.5,600.23,623.73
2019-08-19,0.00242091930803391,-0.3714917571371129,1.509999999999991,623.73,625.24
2019-08-20,-0.0008156867762778948,-0.3720044229995978,-0.5099999999999909,625.24,624.73
2019-08-21,0.0188241320250348,-0.3601829513470043,11.759999999999991,624.73,636.49
2019-08-22,-0.00785558296281167,-0.36520908725371914,-5.0,636.49,631.49
2019-08-23,-0.010293116280542842,-0.3717430639324486,-6.5,631.49,624.99
2019-08-26,-0.0032160514568232946,-0.373763570566948,-2.009999999999991,624.99,622.98
2019-08-27,0.0020064849593887444,-0.3725070365902692,1.25,622.98,624.23
2019-08-28,-0.009611841789084152,-0.37853839967832703,-6.0,624.23,618.23
2019-08-29,0.023470229526228088,-0.36395255327704035,14.509999999999991,618.23,632.74
2019-08-30,-0.011853209849227171,-0.3714917571371128,-7.5,632.74,625.24
2019-09-02,-0.0032147655300364514,-0.3735122637716122,-2.009999999999991,625.24,623.23
2019-09-03,-0.008824992378415672,-0.37904101326899864,-5.5,623.23,617.73
2019-09-04,0.016204490635067084,-0.3689786891837553,10.009999999999991,617.73,627.74
2019-09-05,0.03485519482588332,-0.3469843184559709,21.879999999999995,627.74,649.62
2019-09-06,0.0009544041131738625,-0.3463610776035382,0.6200000000000045,649.62,650.24
2019-09-09,0.02692851870078739,-0.3287595496582225,17.50999999999999,650.24,667.75
2019-09-10,0.037454137027330574,-0.3036188178528346,25.00999999999999,667.75,692.76
2019-09-11,0.02256192620821063,-0.28790711700844385,15.629999999999995,692.76,708.39
2019-09-12,-0.0017645647171755671,-0.28916365098512253,-1.25,708.39,707.14
2019-09-13,0.04332946799785048,-0.2583634901487736,30.639999999999986,707.14,737.78
2019-09-16,-0.013567730217680055,-0.2684258142340169,-10.009999999999991,737.78,727.77
2019-09-17,-0.00858787803839125,-0.27470848411741056,-6.25,727.77,721.52
2019-09-18,-0.0043242044572569084,-0.27784479292320063,-3.1200000000000045,721.52,718.4
2019-09-19,0.001739977728285078,-0.27658825894652184,1.25,718.4,719.65
2019-09-20,-0.012172583894948921,-0.28539404905508636,-8.759999999999991,719.65,710.89
2019-09-23,-0.029906173950962865,-0.3067651789304382,-21.25999999999999,710.89,689.63
2019-09-24,-0.027188492379971868,-0.32561318858061916,-18.75,689.63,670.88
2019-09-25,-0.006528738373479602,-0.3300160836349014,-4.3799999999999955,670.88,666.5
2019-09-26,-0.0009302325581395417,-0.330639324487334,-0.6200000000000045,666.5,665.88
2019-09-27,0.013140505796840271,-0.3218435866505829,8.75,665.88,674.63
2019-09-30,0.027807835406074427,-0.30298552472858853,18.75999999999999,674.63,693.39
2019-10-01,-0.022555848800819144,-0.3187072778447928,-15.639999999999986,693.39,677.75
2019-10-02,-0.024905938767982288,-0.3356755126658624,-16.879999999999995,677.75,660.87
2019-10-04,-0.004721049525625319,-0.33881182147165256,-3.1200000000000045,660.87,657.75
2019-10-07,-0.01045990117825921,-0.3457277844792923,-6.8799999999999955,657.75,650.87
2019-10-08,-0.008649960821669451,-0.35138721351025326,-5.6299999999999955,650.87,645.24
2019-10-09,-0.007749054615336929,-0.35641334941696823,-5.0,645.24,640.24
2019-10-10,0.01074597026115206,-0.3494973864093285,6.8799999999999955,640.24,647.12
2019-10-11,0.052169613054765716,-0.31556091676718934,33.75999999999999,647.12,680.88
2019-10-14,0.000925273175890018,-0.31492762364294324,0.6299999999999955,680.88,681.51
2019-10-15,0.013748881160951423,-0.3055086449537595,9.370000000000005,681.51,690.88
2019-10-16,0.00544233441408058,-0.30172899075190984,3.759999999999991,690.88,694.64
2019-10-17,-0.0017994932626972245,-0.30298552472858853,-1.25,694.64,693.39
2019-10-18,0.005408211828840912,-0.29921592279855225,3.75,693.39,697.14
2019-10-21,0.001793040135410391,-0.29795938882187345,1.25,697.14,698.39
2019-10-22,-0.0035796617935537453,-0.30047245677523093,-2.5,698.39,695.89
2019-10-23,0.019758869936340514,-0.28665058303176494,13.75,695.89,709.64
2019-10-24,0.008807282565808015,-0.2803679131483713,6.25,709.64,715.89
2019-10-25,-0.003492156616239925,-0.28288098110172877,-2.5,715.89,713.39
2019-10-28,0.005256591766074657,-0.2791113791716925,3.75,713.39,717.14
2019-10-29,-0.01394427866246479,-0.2891636509851223,-10.0,717.14,707.14
2019-10-30,0.05482648414741067,-0.2501909931644548,38.76999999999998,707.14,745.91
2019-10-31,-0.016771460363850854,-0.2627663852030556,-12.509999999999991,745.91,733.4
2019-11-01,0.0332424325061358,-0.2382589465219137,24.379999999999995,733.4,757.78
2019-11-04,-0.04866847897806751,-0.27533172496984293,-36.879999999999995,757.78,720.9
2019-11-05,0.04422249965321126,-0.24328508242862867,31.879999999999995,720.9,752.78
2019-11-06,-0.006642046813145939,-0.24831121833534364,-5.0,752.78,747.78
2019-11-07,0.020901869533820103,-0.23259951749095276,15.629999999999995,747.78,763.41
2019-11-08,0.008186950655611008,-0.2263168476075592,6.25,763.41,769.66
2019-11-11,0.0308707741080477,-0.20243264977885,23.75999999999999,769.66,793.42
2019-11-12,-0.007877290716140253,-0.20871531966224366,-6.25,793.42,787.17
2019-11-13,0.01985593963184572,-0.19300361881785288,15.629999999999995,787.17,802.8
2019-11-14,-0.008570004982561032,-0.19991958182549263,-6.8799999999999955,802.8,795.92
2019-11-15,0.014147150467383646,-0.18860072376357073,11.259999999999991,795.92,807.18
2019-11-18,-0.02246091330310463,-0.206825492561319,-18.129999999999995,807.18,789.05
2019-11-19,0.010290856092769793,-0.19866304784881406,8.120000000000005,789.05,797.17
2019-11-20,-0.03450957763086919,-0.22631684760755943,-27.50999999999999,797.17,769.66
2019-11-21,-0.004053738014188089,-0.2294531564133495,-3.1200000000000045,769.66,766.54
2019-11-22,0.0008088292848383706,-0.22882991556091692,0.6200000000000045,766.54,767.16
2019-11-25,0.033421971948485306,-0.20305589063128282,25.639999999999986,767.16,792.8
2019-11-26,0.007101412714429864,-0.19739646160032187,5.6299999999999955,792.8,798.43
2019-11-27,-0.003920193379507278,-0.20054282267792545,-3.1299999999999955,798.43,795.3
2019-11-28,-0.003935621777945424,-0.2036891837555289,-3.1299999999999955,795.3,792.17
2019-11-29,-0.005516492672027475,-0.2080820265379978,-4.3700000000000045,792.17,787.8
2019-12-02,-0.011906575272911902,-0.21751105749899502,-9.379999999999995,787.8,778.42
2019-12-03,-0.00321163382235811,-0.2200241254523525,-2.5,778.42,775.92
2019-12-04,0.015310856789359723,-0.2080820265379979,11.879999999999995,775.92,787.8
2019-12-05,-0.006359482102056348,-0.21311821471652626,-5.009999999999991,787.8,782.79
2019-12-06,0.00878907497540847,-0.2062022517088865,6.8799999999999955,782.79,789.67
2019-12-09,-0.01582939708992364,-0.2187675914756737,-12.5,789.67,777.17
2019-12-10,-0.003216799413255787,-0.2212806594290312,-2.5,777.17,774.67
2019-12-11,0.0008003407902719927,-0.2206574185765986,0.6200000000000045,774.67,775.29
2019-12-12,0.03952069548169071,-0.18985725774024964,30.639999999999986,775.29,805.93
2019-12-13,0.018612038266350675,-0.17477885002010496,15.0,805.93,820.93
2019-12-16,0.025897457761319607,-0.153407720144753,21.260000000000105,820.93,842.19
2019-12-17,0.004452676949381968,-0.14963811821471684,3.75,842.19,845.94
2019-12-18,0.007400052013145129,-0.1433453960595097,6.259999999999991,845.94,852.2
2019-12-19,-0.005139638582492367,-0.14774829111379195,-4.3799999999999955,852.2,847.82
2019-12-20,0.0,-0.14774829111379195,0.0,847.82,847.82
2019-12-23,0.008114930055908088,-0.14083232810615232,6.8799999999999955,847.82,854.7
2019-12-27,0.00585000585000585,-0.13580619219943735,5.0,854.7,859.7
2019-12-30,-0.018180760730487373,-0.15151789304382812,-15.629999999999995,859.7,844.07
2020-01-02,0.016290118118165553,-0.13769601930036202,13.75,844.07,857.82
2020-01-03,-0.009477512764915711,-0.14586851628468045,-8.129999999999995,857.82,849.69
2020-01-06,0.005154821170073786,-0.1414656212303982,4.3799999999999955,849.69,854.07
2020-01-07,0.010245061880173755,-0.13266988339364716,8.75,854.07,862.82
2020-01-08,-0.023909969634454457,-0.1534077201447529,-20.629999999999995,862.82,842.19
2020-01-09,0.02227525855210818,-0.13454965822275855,18.75999999999999,842.19,860.95
2020-01-10,-0.01089494163424124,-0.14397868918375567,-9.379999999999995,860.95,851.57
2020-01-13,-0.004403630940498138,-0.14774829111379184,-3.75,851.57,847.82
2020-01-14,0.0036918213771791127,-0.14460193003618838,3.1299999999999955,847.82,850.95
2020-01-15,0.0007285974499089306,-0.14397868918375567,0.6200000000000045,850.95,851.57
2020-01-16,0.009547071878999959,-0.13580619219943713,8.129999999999995,851.57,859.7
2020-01-17,0.0007211818076073101,-0.13518295134700442,0.6200000000000045,859.7,860.32
2020-01-20,0.02980286405058581,-0.10940892641737032,25.639999999999986,860.32,885.96
2020-01-21,-0.007765587611178829,-0.11632488942501007,-6.8799999999999955,885.96,879.08
